Mean,Variance,StD,Kurtosis,Max,Min,Skewness,Entropy,Constrast,Correlation,Energy,Homogeneity,Label
109,25.963174731829636,5.095407219431008,0.2690828936918219,128,99,0.7553217428091967,8.345327598457203,413.47821409359887,0.8646335686962647,0.8321749012955895,0.8783462394639374,1
109,20.61794489924279,4.540698723681499,0.03578661392332716,124,98,0.6453848600305779,8.627703398361405,531.6085137085138,0.8874453836560534,0.7088797204861478,0.811132548888097,1
95,20.24348722683903,4.499276300344204,0.39939475885250975,112,86,0.6895543824396475,7.443160457761637,562.8790322580649,0.8616119920886961,0.6425862297285164,0.7564824686300031,1
93,2.6475,1.627114009527298,-1.0340665602003052,96,91,0.26759696144403755,4.094191897549392,1413.388888888889,0.32111621825362413,0.2151657414559676,0.32779747134494197,1
100,43.33619936388102,6.583023573091701,-1.1629569796154329,115,88,0.05819652725142889,7.426170537303898,488.38548273431985,0.8986183309802998,0.5817499505883371,0.7473744868100103,1
90,1.4564000000000001,1.2068139873236472,-0.5656523581979784,94,89,0.3199628783456101,5.010547360159425,1102.2884615384614,0.6850721510045281,0.6337730747847817,0.7942472191135904,1
93,9.133786848072562,3.022215552880463,0.40908600077511315,102,89,1.0665882482488418,4.83576808540673,899.22,0.6931586897321212,0.2227105745132009,0.4531333889709478,1
92,5.067851239669422,2.251188850289869,1.6528939812037953,100,88,1.2392245842016438,5.798796926254466,1266.0,0.7015852837921313,0.42575667211147655,0.6463888965861841,1
91,2.7271809115010734,1.6514178488502156,-0.2542305372613609,96,89,0.47881441128830876,5.587087795610557,1029.3653846153848,0.6305288842529921,0.22672742543368454,0.5432844309048197,1
93,6.2522263717322595,2.500445234699664,-0.7705009674042205,99,89,0.399680858884042,5.1757919675832,1045.2857142857142,0.5144783552735865,0.16984868697644995,0.4717241458708121,1
92,4.430549333333333,2.104887012011175,-0.5563926196426623,98,88,0.3365727304300389,7.0252801705587835,463.65743589743596,0.8852055491817027,0.5961626136658847,0.8221607187155227,1
91,2.4927126710291496,1.578832692538747,-0.8454006845329229,95,89,0.23363478913702637,5.505184190254555,1014.4538461538464,0.7485774461257315,0.3544726894613526,0.6346303310596315,1
